alpha,call_id,ema_ms,end_to_end_ms,feat_ms,feature_type,final_S,first_alert_ms,fwd_ms,kind,label,load_ms,n_segments,peak_seg_ms,prob,rep,score_S,segment_id,tau,total_call_ms
,,0.000886,8.211094,7.511979,mfcc,,,0.165781,segment,0,0.532448,,,0.333809494972229,3,0.2336666464805603,d01j020s006667_1,,
,,0.000729,8.274792,7.589896,mfcc,,,0.152604,segment,0,0.531563,,,0.333809494972229,4,0.2336666464805603,d01j020s006667_1,,
,,0.000521,8.150469,7.451146,mfcc,,,0.173281,segment,0,0.525521,,,0.333809494972229,5,0.2336666464805603,d01j020s006667_1,,
,,0.000521,8.275625,7.58401,mfcc,,,0.162656,segment,0,0.528438,,,0.333809494972229,6,0.2336666464805603,d01j020s006667_1,,
,,0.000781,8.302239,7.604844,mfcc,,,0.169739,segment,0,0.526875,,,0.333809494972229,7,0.2336666464805603,d01j020s006667_1,,
,,0.000521,8.351354,7.551823,mfcc,,,0.163698,segment,0,0.635312,,,0.333809494972229,8,0.2336666464805603,d01j020s006667_1,,
,,0.000625,8.283073,7.498281,mfcc,,,0.171719,segment,0,0.612448,,,0.333809494972229,9,0.2336666464805603,d01j020s006667_1,,
,,0.000938,8.29323,3.640104,mfcc,,,0.141094,segment,1,4.511094,,,0.9999994039535522,0,0.6999995827674865,vishing_617_336,,
,,0.000833,4.061041,3.607031,mfcc,,,0.145729,segment,1,0.307448,,,0.9999994039535522,1,0.6999995827674865,vishing_617_336,,
,,0.000677,3.971146,3.544115,mfcc,,,0.119844,segment,1,0.30651,,,0.9999994039535522,2,0.6999995827674865,vishing_617_336,,
,,0.000573,3.808438,3.413489,mfcc,,,0.121667,segment,1,0.272709,,,0.9999994039535522,3,0.6999995827674865,vishing_617_336,,
,,0.000521,4.156146,3.752084,mfcc,,,0.116666,segment,1,0.286875,,,0.9999994039535522,4,0.6999995827674865,vishing_617_336,,
,,0.000625,4.139063,3.734948,mfcc,,,0.119844,segment,1,0.283646,,,0.9999994039535522,5,0.6999995827674865,vishing_617_336,,
,,0.000521,4.148177,3.732709,mfcc,,,0.119635,segment,1,0.295312,,,0.9999994039535522,6,0.6999995827674865,vishing_617_336,,
,,0.000677,4.119375,3.712188,mfcc,,,0.122239,segment,1,0.284271,,,0.9999994039535522,7,0.6999995827674865,vishing_617_336,,
,,0.000521,4.162708,3.758385,mfcc,,,0.116667,segment,1,0.287135,,,0.9999994039535522,8,0.6999995827674865,vishing_617_336,,
,,0.000573,4.189479,3.777604,mfcc,,,0.12401,segment,1,0.287292,,,0.9999994039535522,9,0.6999995827674865,vishing_617_336,,
,,0.001042,15.119375,7.326302,mfcc,,,0.164844,segment,1,7.627187,,,0.999363124370575,0,0.6995541870594024,vishing_205_2,,
,,0.000677,7.874687,7.114791,mfcc,,,0.155573,segment,1,0.603646,,,0.999363124370575,1,0.6995541870594024,vishing_205_2,,
,,0.000677,7.459427,6.799062,mfcc,,,0.154844,segment,1,0.504844,,,0.999363124370575,2,0.6995541870594024,vishing_205_2,,
,,0.000677,7.530209,6.889636,mfcc,,,0.148594,segment,1,0.491302,,,0.999363124370575,3,0.6995541870594024,vishing_205_2,,
,,0.000729,7.430573,6.766094,mfcc,,,0.163177,segment,1,0.500573,,,0.999363124370575,4,0.6995541870594024,vishing_205_2,,
,,0.001093,7.438385,6.743177,mfcc,,,0.193907,segment,1,0.500208,,,0.999363124370575,5,0.6995541870594024,vishing_205_2,,
,,0.000469,7.43625,6.788646,mfcc,,,0.163437,segment,1,0.483698,,,0.999363124370575,6,0.6995541870594024,vishing_205_2,,
,,0.000781,7.639479,6.976562,mfcc,,,0.157917,segment,1,0.504219,,,0.999363124370575,7,0.6995541870594024,vishing_205_2,,
,,0.000729,7.466771,6.821458,mfcc,,,0.148959,segment,1,0.495625,,,0.999363124370575,8,0.6995541870594024,vishing_205_2,,
